Review,Nature
"It is probably the best budget smart TV around with a brand name. I have been using it for about a month now and my thoughts are belowThe best thing about this product is it's price but don't buy it if you are looking for a premium product. The low points of the product is highlighted below1) Sound quality is not good if you are planning to place the TV in the living room I will suggest you add a speaker for clarity2) the smart features are not impressive with no screen cast support for Android .The web browser UI is not ideal but manageable.3) the remote for this TV is not best built with a very long sequence required to increase brightness or picture quality. Also the absence of YouTube button is also not convenient.
            ",positive
"I bought it for 16500 from Amazon during offer periodAmazon 5/5Picture quality:5/5:lg brand is known for its lot of new software such as WEBos ..Sound amazing: 20w speaker gives u a chill effectSmart :connect with Ur mobile and play hotstar,mx player and movies from Ur mobile to big screenBEST BRANDED UNDER smart TV under 20000..go for it.LG never disappoint..AND MAKES UR HOME GOOD
            ",positive
"I have like the TV and smart tv option. It's been very user-friendly for me, but I am little disappointed with the description .It was mentioned as magic remote but received different but picture quality is not up to the mark of sony picture quality.
            ",negative
"Awesome purchase. Got it for 16500. Great service by amazon. Delivered on time. Got it installed same day by LG. Had to call LG for the installation. Picture and Sound is great. Connectivity and Smart Features are working properly.
            ",positive
"The product is good but instead supplying magic remote as promised only ordinary lg remote was supplied which is not fair by company like lg
            ",positive
"It's 2 days since delivery. No call from installation person.
            ",negative
"Not so happy, as no hot star app, no sony liv app and mostly lacking indian apps,Also only one USB port is there, so if we put wireless keyboard we have to remove pendrive.No magic remote, just average purchase at such price.. Better to go for android tv
            ",negative
"This product is been reviewed after 8 months of usage , nice picture quality has screen shareing , secondary device connection , internet surfing ,addon ahortcuts for like prime ,Netflix , best one
            ",positive
"Osm brand yaar
            ",neutral
"Before buying this tv plz read out my review1. Its not android tv, it’s webOS tv which is developed by LG itself.2. Don’t expect for live tv3. All the apps will not be installed4.display clarity and sound is good5. Hotstar, jio tvand soni liv shall not be operated but it may be through google chromecast bcz m not sure
            ",negative
"I'm using it from Feb 3, 2019.  This is a very nice product from LG. This product is a 2017 model and that is why price is very reasonable. But I think It hardly matters whether it is  2017 or 2018 model. I asked at LG showroom, they told the price will be around 28k. But I got it from Amazon in 21k.Smart features are working nicely . Youtube app, Netflix and Amazon Prime app is working fine . But after Tv installation these apps might ask for upgradation. So You need to updated all apps after connecting wifi or LAN connection. Web browser of this TV is quite good. U can open any website through this browser. But might take little longer to  load any video streaming website!!I'm using my broadband wifi and it has connected properly.  LAN cable option is also there. TV has a good user manual app installed in it by which you can easily find out how to use this TV. this is very helpful.Miracast screen share option is quite effective for this TV. You need to install an app from Play store in your Smartphone. And need to register your TV with serial No in this APP. and then you can share your mobile's galley, videos etc in the TV. But remember you can't able to copy files or folders from your mobile to TV. Only You can share the screen.This TV does not comes with a magic remote!Overall TV is very good for my use. I would recommend this product.
            ",positive
"the product is as described. i mostly use apps like youtube, amazone prime video and they work smoothly without any issues. overall a good product.
            ",positive
"It is good as a 2nd  basic TV wt sum smart features. Got a gud deal on Amazon wt exchange. Delivery was also on time. However , installation took almost 80 hours that too after following up wt Amazon.
            ",positive
"I giving 5* to Amezon service I booked product on 2nd Nov 2018 and it delivered on time,even my lift was not working on 4th Nov 2018 the executive who came he used step , installation done on same day the person who came for installation was from LG an authorised executive.I like the service.
            ",positive
"Picture is bit tinted, whites are not pure white. Overall very average picture quality, not expected from reputed brand like LG.  Or perhaps that's because it's HD ready, not full HD. Connectivity options are good. USB plays almost all video audio formats. Casting mobile screen is not very smooth even though I have 300 Mbps wifi router, video stutters and lags.
            ",positive
"I bought many things in Amazon but this is my first review. Really it's wonderful TV from LG.Same day Installation, Thanks for the quick delivery and pit fire installation.Good customer service from both LG and Amazon.
            ",positive
"Like to buy branded TV ended with disappointment , not given magic remote,but advertising with magic remote features, poor tactics by LG as well as Amazon, Amazon customer care was not answering for any help only diverting queries to product manufacturers, Amazon handwashing tactics ,Not good picture blur, sound echoes , disappointed with LG products ,, Simply go MI , friends using for 7 month no problems,
            ",neutral
"good sound..great picture ...got it installed within 48 hours as promised...all smart tv featuresgreat and fast connectivityonly downside is its not as thin as my other leds....this is about 4 inches thick
            ",positive
"It's semi smart TV, so my suggestion to any body if they wanted to buy TV please buy fully smart TV. you get lots of option in your TV.
            ",positive
"product delivery as comes in timely,good picture & sound quality,smart features support as quickly,LG- TV product installation team person as not co-ordinate at the time of installation,overall product as good
            ",positive
"TV hardware quality, sound quality,  webOS  is everything is fine as expected.  I know this section is only to write a review about the product. I've to tell this about the gati courier service.  I really don't appreciate. And I'm wondering that how amazon keeping them as courier partnership as it's getting not a single good review.
            ",negative
"very happy
            ",positive
"Usually I won't write review's for any products. But this product made to write so. I would recommend this smart TV as it has all best features which comes in a reasonable price and also exchange offer is an added advantage . Go for it !
            ",positive
"Very nice
            ",positive
"Worth of buying use HD Set top box,Dolby speakers are very good
            ",positive
"Awesome TV in thia price range, I usually connect the wifi just with simple step for first time, and login with amazon prime video, and watch all movies.
            ",positive
"Best tv in class.. got it for ₹19000 with 2 years warranty.. Best Price ever
            ",positive
"picture quality good in this price and sound quality is ok and smart features also good in this price.Remote is not magic.you can't surfing fast. Overall good
            ",positive
"Great price offered by Amazon, but picture quality is average and sound quality is not good also its basic smart tv have few apps and feature. I suggest to go for Sony for best picture quality.Not satisfied qith this product.
            ",positive
"The Features for LED TV 32LJ573D is quiet good. The smart features are very good and expecting some more extra like voice control of smart feature.
            ",positive
"Really good TV! The sound quality is top class. Even though the description says picture quality is HD ready, let me tell you that it is better than a Samsung HD TV that we are using. Very much worth the price.
            ",positive
"Brilliant TV, have two of these, great value for money and great for the Apartment life. Has all the features including WiFy - comes with built in apps to stream content.
            ",positive
"Good
            ",positive
"Picture and sound quality is very good. Coming to smart features it's ok compared to top end models.
            ",positive
"If we use HD formatted video through flash drive, picture getting struck up is looks negative picture ithink frame refreshing rating is very low
            ",negative
"Over all a good choice in this price range
            ",positive
"Very good tv at this price
            ",positive
"One of the best appliances to buy is lg, amazing audio effects.the visual experience is clear and the miracast helps to duplicate the mobile or laptop screen.good features.
            ",positive
"Picture quality superbSound quality exllentExtra smart features best smart TVI'm continuing shaping on amazon
            ",positive
"Sound quality is awesome Full hd hota toh aur acha hota overall good product Amazon delivery is also good.
            ",positive
"Nice very Smart TV
            ",positive
"Nice product 32 inch picture quality & Dolby  sound very nice
            ",positive
"After almost a month use,  I am writing the review. The TV is just superb and thank you amazon for making my electronic purchase a good experience
            ",positive
"It's A Great TV but The LG Content Store don't offer much apps. So there are limited apps which can be used. Apps like voot, sony liv, hotstar etc.. would have been great.
            ",positive
"This is the 2nd 32 inch smart LG TV I am buying the first one stopped working after 3 months some issue with the electrical adaptor. After 3 months of no response from LG customer care I thought its easier to buy a new TV. Made the mistake picked up the same TV thinking the previous may be one off. The new TV LG customer care came and installed the audio was not working they blamed the tata sky set top box and said get it fixed. Now tata sky technicians came and validated that their settop box audio is perfectly fine on other TV and this LG 32 TV has a issue. Big disappointment 2 times on amazon two times defective model was shipped. Not sure what's the issue but definitely makes online shopping experience bad. Totally disappointing please donot by LG products they seem to have overgrown the trust they once held
            ",positive
"It is probably the best budget smart TV around with a brand name. I have been using it for about a month now and my thoughts are belowThe best thing about this product is it's price but don't buy it if you are looking for a premium product. The low points of the product is highlighted below1) Sound quality is not good if you are planning to place the TV in the living room I will suggest you add a speaker for clarity2) the smart features are not impressive with no screen cast support for Android .The web browser UI is not ideal but manageable.3) the remote for this TV is not best built with a very long sequence required to increase brightness or picture quality. Also the absence of YouTube button is also not convenient.
            ",positive
"I bought it for 16500 from Amazon during offer periodAmazon 5/5Picture quality:5/5:lg brand is known for its lot of new software such as WEBos ..Sound amazing: 20w speaker gives u a chill effectSmart :connect with Ur mobile and play hotstar,mx player and movies from Ur mobile to big screenBEST BRANDED UNDER smart TV under 20000..go for it.LG never disappoint..AND MAKES UR HOME GOOD
            ",positive
"I have like the TV and smart tv option. It's been very user-friendly for me, but I am little disappointed with the description .It was mentioned as magic remote but received different but picture quality is not up to the mark of sony picture quality.
            ",negative
"Awesome purchase. Got it for 16500. Great service by amazon. Delivered on time. Got it installed same day by LG. Had to call LG for the installation. Picture and Sound is great. Connectivity and Smart Features are working properly.
            ",positive
"The product is good but instead supplying magic remote as promised only ordinary lg remote was supplied which is not fair by company like lg
            ",positive
"It's 2 days since delivery. No call from installation person.
            ",negative
"Not so happy, as no hot star app, no sony liv app and mostly lacking indian apps,Also only one USB port is there, so if we put wireless keyboard we have to remove pendrive.No magic remote, just average purchase at such price.. Better to go for android tv
            ",negative
"This product is been reviewed after 8 months of usage , nice picture quality has screen shareing , secondary device connection , internet surfing ,addon ahortcuts for like prime ,Netflix , best one
            ",positive
"Osm brand yaar
            ",neutral
"Before buying this tv plz read out my review1. Its not android tv, it’s webOS tv which is developed by LG itself.2. Don’t expect for live tv3. All the apps will not be installed4.display clarity and sound is good5. Hotstar, jio tvand soni liv shall not be operated but it may be through google chromecast bcz m not sure
            ",negative
